Customer_ID,Membership,Gender,Salary,Age,Marital_Status,Purchased
CUST00001,0,1,46,18,1,5085.88
CUST00002,1,1,37.3,38,1,4636.46
CUST00003,1,0,69.1,27,1,4920.94
CUST00004,1,0,76.2,57,0,4879.67
CUST00005,1,1,44.4,36,1,5364.98
CUST00006,0,0,70.3,26,0,3799.33
CUST00007,1,0,42.1,46,1,4829.31
CUST00008,1,0,60.1,39,0,4392.06
CUST00009,0,1,80.9,42,0,4203.26
CUST00010,1,0,61.9,18,0,4141.36
CUST00011,1,1,87.1,27,0,4738.62
CUST00012,1,0,82.7,51,0,4091.05
CUST00013,0,0,47.9,48,1,3458.24
CUST00014,0,0,105.6,40,0,3692.23
CUST00015,1,0,36.1,23,0,3794.26
CUST00016,0,1,45.5,25,1,4608.07
CUST00017,1,0,47,61,1,5216.91
CUST00018,0,1,36.2,22,1,3890.82
CUST00019,0,1,57.9,34,0,3411.05
CUST00020,0,0,196.2,20,0,4855.1
CUST00021,1,1,133,20,1,5754.23
CUST00022,1,1,28,18,1,5103.75
CUST00023,0,0,29.8,36,1,3109.26
CUST00024,1,0,61.2,30,0,4005.2
CUST00025,0,0,44.9,44,0,3164.23
CUST00026,0,1,90.5,44,1,5056.31
CUST00027,1,1,69.3,41,0,5013.12
CUST00028,1,1,22.2,42,1,4340.6
CUST00029,1,0,43.3,35,0,3840.04
CUST00030,1,1,26,18,0,3917.72
CUST00031,0,1,44.4,31,0,3368.22
CUST00032,1,0,35.7,48,0,4197.39
CUST00033,1,1,77.8,36,1,5955.66
CUST00034,0,0,34.4,32,0,3476.45
CUST00035,1,0,80.8,43,0,4225.83
CUST00036,0,0,20,56,0,3320.08
CUST00037,0,0,47.6,29,0,2758.46
CUST00038,1,1,37.1,49,1,5683.69
CUST00039,0,0,36,49,1,4241.38
CUST00040,1,1,64.3,23,1,5444.83
CUST00041,1,0,46.4,20,0,4290.4
CUST00042,1,0,98.6,18,0,4214.52
CUST00043,1,0,54.6,37,1,5472.71
CUST00044,1,1,30.9,35,0,4561.61
CUST00045,1,1,121.3,51,1,6517.85
CUST00046,0,0,52.7,28,1,3851.85
CUST00047,0,1,32,38,0,2512.2
CUST00048,0,1,32.2,28,0,2899.05
CUST00049,0,0,44,37,0,2930.76
CUST00050,1,0,40.7,58,0,4082.14
CUST00051,1,1,69.4,37,0,4912.88
CUST00052,0,1,70.3,44,1,4896.92
CUST00053,1,0,42.3,40,0,3437.72
CUST00054,1,1,62.9,34,1,5485.23
CUST00055,0,1,47.6,69,0,4118.74
CUST00056,0,1,55.8,55,1,3759.5
CUST00057,1,0,74.6,35,0,4405.54
CUST00058,1,1,57.4,25,1,4981.73
CUST00059,1,0,75.8,18,1,4749.66
CUST00060,1,1,74.1,41,1,5458.6
CUST00061,0,0,47.5,41,0,3398.33
CUST00062,1,1,96.1,42,1,5786.58
CUST00063,0,1,36,28,0,3247.84
CUST00064,0,0,31,34,0,2534.13
CUST00065,1,1,46.1,48,0,4988.07
CUST00066,0,0,37.2,30,0,3056.92
CUST00067,1,0,109.5,42,1,6688.87
CUST00068,1,1,126.9,26,1,6570.79
CUST00069,1,0,113,27,0,5314.27
CUST00070,1,0,30.2,23,0,3275.99
CUST00071,0,1,34,20,0,2572.6
CUST00072,1,1,58,29,1,5582.05
CUST00073,1,1,43.3,33,1,4887.9
CUST00074,0,1,71.2,46,0,3480.56
CUST00075,1,0,69.3,35,1,5576.76
CUST00076,1,0,24.7,43,0,3840.49
CUST00077,1,1,41.6,18,1,3910.32
CUST00078,0,0,29.8,27,1,4015
CUST00079,0,0,26,18,1,4141.7
CUST00080,1,1,39.6,39,1,5493.27
CUST00081,1,0,71.2,44,0,3936.81
CUST00082,1,1,38.6,21,1,5103.88
CUST00083,0,1,71.6,49,0,3602.24
CUST00084,0,1,24.4,40,1,4017.15
CUST00085,1,1,47.9,18,1,5276.84
CUST00086,0,0,41.8,49,0,3558.67
CUST00087,0,1,36.1,41,0,3453.02
CUST00088,0,0,59.3,36,0,4051.64
CUST00089,1,1,45.9,31,1,5607
CUST00090,0,1,90.2,26,0,3859.18
CUST00091,1,1,89.1,28,0,5914.09
CUST00092,0,0,33.5,21,1,3244.64
CUST00093,1,0,106.5,43,0,5563.5
CUST00094,0,1,132.8,18,0,4872.08
CUST00095,1,0,35.9,53,1,5177.32
CUST00096,1,0,33.2,37,1,4087.22
CUST00097,1,1,42.7,43,1,4723.09
CUST00098,1,1,43.7,53,1,5652.42
CUST00099,1,0,69.1,58,1,5750.95
CUST00100,0,1,63.3,37,0,3370.6
CUST00101,0,1,41,56,1,4068.95
CUST00102,1,0,54.7,25,0,3877.46
CUST00103,0,0,29.7,50,1,3713.35
CUST00104,0,0,51.7,46,0,3133.78
CUST00105,1,1,67.6,27,1,5465.97
CUST00106,0,0,53.7,34,0,3383.12
CUST00107,0,1,68,32,0,3654.77
CUST00108,1,0,66.8,33,0,4743.13
CUST00109,1,1,49.9,51,0,4912.23
CUST00110,1,0,88.2,58,0,5014.42
CUST00111,0,1,36.3,19,1,3950.93
CUST00112,1,1,37.6,41,0,3974.51
CUST00113,0,1,46.1,39,0,3336.18
CUST00114,1,1,38.7,25,1,4698.02
CUST00115,1,1,80.2,48,0,5137.54
CUST00116,1,0,109.8,37,0,5896.46
CUST00117,1,1,100.8,18,1,6400.03
CUST00118,1,1,32.8,33,1,4924.4
CUST00119,1,0,37.7,23,0,4129.94
CUST00120,0,0,132.2,41,0,4590.99
CUST00121,1,0,42.4,32,0,3563.07
CUST00122,1,0,62.9,67,1,4717.44
